"Bean_Type","Broad_Bean_Origin","Cocoa_Percent","Company_Location","Company",REF,Rating,"Review_Date","Specific_Bean_Origin_or_Bar_Name"
 ,Sao Tome,63%,France,A. Morin,1876,3.75,2016,Agua Grande
 ,Togo,70%,France,A. Morin,1676,2.75,2015,Kpime
 ,Togo,70%,France,A. Morin,1676,3.0,2015,Atsane
 ,Togo,70%,France,A. Morin,1680,3.5,2015,Akata
 ,Peru,70%,France,A. Morin,1704,3.5,2015,Quilla
Criollo,Venezuela,70%,France,A. Morin,1315,2.75,2014,Carenero
 ,Cuba,70%,France,A. Morin,1315,3.5,2014,Cuba
Criollo,Venezuela,70%,France,A. Morin,1315,3.5,2014,Sur del Lago
Criollo,Venezuela,70%,France,A. Morin,1319,3.75,2014,Puerto Cabello
 ,Peru,70%,France,A. Morin,1319,4.0,2014,Pablino
 ,Panama,70%,France,A. Morin,1011,2.75,2013,Panama
Criollo,Madagascar,70%,France,A. Morin,1011,3.0,2013,Madagascar
 ,Brazil,70%,France,A. Morin,1011,3.25,2013,Brazil
 ,Ecuador,70%,France,A. Morin,1011,3.75,2013,Equateur
 ,Colombia,70%,France,A. Morin,1015,2.75,2013,Colombie
 ,Burma,70%,France,A. Morin,1015,3.0,2013,Birmanie
 ,Papua New Guinea,70%,France,A. Morin,1015,3.25,2013,Papua New Guinea
Trinitario,Venezuela,70%,France,A. Morin,1015,4.0,2013,Chuao
 ,Peru,70%,France,A. Morin,1019,3.25,2013,Piura
 ,Peru,70%,France,A. Morin,1019,3.5,2013,Chanchamayo Province
 ,Peru,63%,France,A. Morin,1019,4.0,2013,Chanchamayo Province
 ,Bolivia,70%,France,A. Morin,797,3.5,2012,Bolivia
 ,Peru,63%,France,A. Morin,797,3.75,2012,Peru
 ,Peru,70%,U.S.A.,Acalli,1462,3.75,2015,"Chulucanas, El Platanal"
Criollo,Peru,70%,U.S.A.,Acalli,1470,3.75,2015,"Tumbes, Norandino"
Trinitario,Fiji,60%,Fiji,Adi,705,2.75,2011,Vanua Levu
Trinitario,Fiji,80%,Fiji,Adi,705,3.25,2011,"Vanua Levu, Toto-A"
Trinitario,Fiji,88%,Fiji,Adi,705,3.5,2011,Vanua Levu
Trinitario,Fiji,72%,Fiji,Adi,705,3.5,2011,"Vanua Levu, Ami-Ami-CA"
Forastero (Arriba),Ecuador,55%,Ecuador,Aequare (Gianduja),370,2.75,2009,"Los Rios, Quevedo, Arriba"
Forastero (Arriba),Ecuador,70%,Ecuador,Aequare (Gianduja),370,3.0,2009,"Los Rios, Quevedo, Arriba"
Criollo,Mexico,70%,Mexico,Ah Cacao,316,3.0,2009,Tabasco
Trinitario,Indonesia,75%,Switzerland,Akesson's (Pralus),636,3.75,2011,"Bali (west), Sukrama Family, Melaya area"
Criollo,Madagascar,75%,Switzerland,Akesson's (Pralus),502,2.75,2010,"Madagascar, Ambolikapiky P."
Forastero,Brazil,75%,Switzerland,Akesson's (Pralus),508,2.75,2010,"Monte Alegre, D. Badero"
Trinitario,Trinidad,65%,France,Alain Ducasse,1215,2.75,2014,Trinite
Trinitario,Vietnam,75%,France,Alain Ducasse,1215,2.75,2014,Vietnam
Trinitario,Madagascar,75%,France,Alain Ducasse,1215,3.0,2014,Madagascar
Trinitario,Venezuela,75%,France,Alain Ducasse,1061,2.5,2013,Chuao
 ,Peru,75%,France,Alain Ducasse,1173,2.5,2013,"Piura, Perou"
Forastero (Nacional),Ecuador,70%,Netherlands,Alexandre,1944,3.5,2017,"Winak Coop, Napo"
